age,MI_smoothed,df,spline_max
0,-0.030278036,30,97
1,-0.03316434,30,97
2,-0.03548924,30,97
3,-0.036411491,30,97
4,-0.035364668,30,97
5,-0.033108848,30,97
6,-0.030542962,30,97
7,-0.028341138,30,97
8,-0.026520897,30,97
9,-0.025074332,30,97
10,-0.023995464,30,97
11,-0.023138054,30,97
12,-0.022282043,30,97
13,-0.021165226,30,97
14,-0.019938215,30,97
15,-0.019034841,30,97
16,-0.019312213,30,97
17,-0.020765709,30,97
18,-0.023011472,30,97
19,-0.025180767,30,97
20,-0.026456796,30,97
21,-0.026769052,30,97
22,-0.026434945,30,97
23,-0.025796677,30,97
24,-0.025036701,30,97
25,-0.024131975,30,97
26,-0.023016143,30,97
27,-0.021626187,30,97
28,-0.019928236,30,97
29,-0.018005868,30,97
30,-0.015987741,30,97
31,-0.01400064,30,97
32,-0.012145517,30,97
33,-0.010510999,30,97
34,-0.009174581,30,97
35,-0.008172508,30,97
36,-0.007519604,30,97
37,-0.007214644,30,97
38,-0.007204046,30,97
39,-0.007403019,30,97
40,-0.007680923,30,97
41,-0.007995556,30,97
42,-0.008351782,30,97
43,-0.00881555,30,97
44,-0.009390702,30,97
45,-0.010060465,30,97
46,-0.010808151,30,97
47,-0.011613927,30,97
48,-0.01244804,30,97
49,-0.013288522,30,97
50,-0.014120901,30,97
51,-0.014945583,30,97
52,-0.015751008,30,97
53,-0.01652398,30,97
54,-0.017261469,30,97
55,-0.017966726,30,97
56,-0.018658186,30,97
57,-0.019359012,30,97
58,-0.020090045,30,97
59,-0.020855721,30,97
60,-0.021633511,30,97
61,-0.022390426,30,97
62,-0.023076036,30,97
63,-0.02363818,30,97
64,-0.024042431,30,97
65,-0.024285851,30,97
66,-0.02437752,30,97
67,-0.024347853,30,97
68,-0.024240455,30,97
69,-0.0241003,30,97
70,-0.023961328,30,97
71,-0.023824328,30,97
72,-0.02368581,30,97
73,-0.023557597,30,97
74,-0.023439888,30,97
75,-0.023273658,30,97
76,-0.022994655,30,97
77,-0.022552642,30,97
78,-0.021944604,30,97
79,-0.021184496,30,97
80,-0.020289149,30,97
81,-0.019281381,30,97
82,-0.018182677,30,97
83,-0.017005127,30,97
84,-0.015765685,30,97
85,-0.014483455,30,97
86,-0.013176861,30,97
87,-0.011858192,30,97
88,-0.010540929,30,97
89,-0.009249685,30,97
90,-0.008014423,30,97
91,-0.006873776,30,97
92,-0.005862546,30,97
93,-0.004992501,30,97
94,-0.004189947,30,97
95,-0.003360827,30,97
96,-0.002435161,30,97
97,-0.001438205,30,97
98,-0.00042196,30,97
99,0.000594286,30,97
100,0.001610531,30,97
101,0.002626777,30,97
102,0.003643022,30,97
103,0.004659268,30,97
104,0.005675513,30,97
105,0.006691759,30,97
